SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLTN814	'LTN'	2023-10-01	2023-07-01	2023-09-10	22.250034307586798	22746.615	'BRSTNCLTN814'
BRSTNCLTN7S1	'LTN'	2024-01-01	2023-07-01	2023-09-10	274.532760251524	280908.663	'BRSTNCLTN7S1'
BRSTNCLTN7Y9	'LTN'	2024-04-01	2023-07-01	2023-09-10	83.0731076767119	89831.191	'BRSTNCLTN7Y9'
BRSTNCLTN7W3	'LTN'	2024-07-01	2023-07-01	2023-09-10	86.45078206730246	92548.84185	'BRSTNCLTN7W3'
BRSTNCLTN822	'LTN'	2024-10-01	2023-07-01	2023-09-10	36.3307256356822	41679.509	'BRSTNCLTN822'
BRSTNCLTN7N2	'LTN'	2025-01-01	2023-07-01	2023-09-10	74.68360382988611	85471.70065	'BRSTNCLTN7N2'
BRSTNCLTN830	'LTN'	2025-04-01	2023-07-01	2023-09-10	114.228090064584	137625.546	'BRSTNCLTN830'
BRSTNCLTN7Z6	'LTN'	2025-07-01	2023-07-01	2023-09-10	92.09277703359669	114409.794	'BRSTNCLTN7Z6'
BRSTNCLTN863	'LTN'	2025-10-01	2023-07-01	2023-09-10	13.3111963553072	16494.53	'BRSTNCLTN863'
BRSTNCLTN7U7	'LTN'	2026-01-01	2023-07-01	2023-09-10	135.28318374492346	177894.48584	'BRSTNCLTN7U7'
BRSTNCLTN848	'LTN'	2026-07-01	2023-07-01	2023-09-10	155.79176246881602	215913.791	'BRSTNCLTN848'
BRSTNCLTN871	'LTN'	2027-07-01	2023-07-01	2023-09-10	14.555128034215999	21526.03	'BRSTNCLTN871'
BRSTNCLTN806	'LTN'	2029-01-01	2023-07-01	2023-09-10	2.62599597716434	4952.3211200000005	'BRSTNCLTN806'
BRSTNCNTF170	'NTN-F'	2025-01-01	2023-07-01	2023-09-10	104.44530325074844	104931.81590999999	'BRSTNCNTF170'
BRSTNCNTF1P8	'NTN-F'	2027-01-01	2023-07-01	2023-09-10	110.03979054410884	110274.08753	'BRSTNCNTF1P8'
BRSTNCNTF1Q6	'NTN-F'	2029-01-01	2023-07-01	2023-09-10	106.31637991250628	103462.92456	'BRSTNCNTF1Q6'
BRSTNCNTF204	'NTN-F'	2031-01-01	2023-07-01	2023-09-10	42.16009325944684	38851.74138	'BRSTNCNTF204'
BRSTNCNTF212	'NTN-F'	2033-01-01	2023-07-01	2023-09-10	38.03204167224553	41975.79004	'BRSTNCNTF212'
BRSTNCLF1R90	'LFT'	2023-09-01	2023-07-01	2023-09-10	314.555297000489	23153.056	'BRSTNCLF1R90'
BRSTNCLF1RA8	'LFT'	2024-03-01	2023-07-01	2023-09-10	158.49459637403697	11666.054	'BRSTNCLF1RA8'
