SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLTN7V5	'LTN'	2022-10-01	2023-07-01	2022-07-01	104.77856840621001	105841.709	'BRSTNCLTN7V5'
BRSTNCLTN7D3	'LTN'	2023-01-01	2023-07-01	2022-07-01	142.89926233262761	146610.13808	'BRSTNCLTN7D3'
BRSTNCLTN7X1	'LTN'	2023-04-01	2023-07-01	2022-07-01	15.219059600999701	16521.282	'BRSTNCLTN7X1'
BRSTNCLTN7Q5	'LTN'	2023-07-01	2023-07-01	2022-07-01	185.12242869932902	198321.204	'BRSTNCLTN7Q5'
BRSTNCLTN814	'LTN'	2023-10-01	2023-07-01	2022-07-01	1.92259069794337	2238.375	'BRSTNCLTN814'
BRSTNCLTN7S1	'LTN'	2024-01-01	2023-07-01	2022-07-01	259.931728531506	280908.663	'BRSTNCLTN7S1'
BRSTNCLTN7Y9	'LTN'	2024-04-01	2023-07-01	2022-07-01	62.169468592903804	75589.425	'BRSTNCLTN7Y9'
BRSTNCLTN7W3	'LTN'	2024-07-01	2023-07-01	2022-07-01	80.79945099314467	93198.68959000001	'BRSTNCLTN7W3'
BRSTNCLTN822	'LTN'	2024-10-01	2023-07-01	2022-07-01	5.540541737021	7266.797	'BRSTNCLTN822'
BRSTNCLTN7N2	'LTN'	2025-01-01	2023-07-01	2022-07-01	67.56668881975052	84886.77287999999	'BRSTNCLTN7N2'
BRSTNCLTN7Z6	'LTN'	2025-07-01	2023-07-01	2022-07-01	82.27273820469999	114409.794	'BRSTNCLTN7Z6'
BRSTNCLTN7U7	'LTN'	2026-01-01	2023-07-01	2022-07-01	13.080646960770888	19284.93244	'BRSTNCLTN7U7'
BRSTNCLTN806	'LTN'	2029-01-01	2023-07-01	2022-07-01	0.46061111606391403	984.99384	'BRSTNCLTN806'
BRSTNCNTF147	'NTN-F'	2023-01-01	2023-07-01	2022-07-01	124.26991058962615	124008.61340999999	'BRSTNCNTF147'
BRSTNCNTF170	'NTN-F'	2025-01-01	2023-07-01	2022-07-01	103.81901077166857	104946.42021	'BRSTNCNTF170'
BRSTNCNTF1P8	'NTN-F'	2027-01-01	2023-07-01	2022-07-01	109.9957683986675	110305.16033	'BRSTNCNTF1P8'
BRSTNCNTF1Q6	'NTN-F'	2029-01-01	2023-07-01	2022-07-01	76.66990383684423	71700.30519	'BRSTNCNTF1Q6'
BRSTNCNTF204	'NTN-F'	2031-01-01	2023-07-01	2022-07-01	42.676120366749956	39036.620539999996	'BRSTNCNTF204'
BRSTNCNTF212	'NTN-F'	2033-01-01	2023-07-01	2022-07-01	7.29311051954043	8095.59013	'BRSTNCNTF212'
BRSTNCLF1R74	'LFT'	2022-09-01	2023-07-01	2022-07-01	179.779227745631	15022.646	'BRSTNCLF1R74'
BRSTNCLF1R82	'LFT'	2023-03-01	2023-07-01	2022-07-01	172.62694313468188	14428.21452	'BRSTNCLF1R82'
BRSTNCLF1R90	'LFT'	2023-09-01	2023-07-01	2022-07-01	276.837231162789	23153.056	'BRSTNCLF1R90'
BRSTNCLF1RA8	'LFT'	2024-03-01	2023-07-01	2022-07-01	139.589138044483	11666.054	'BRSTNCLF1RA8'
BRSTNCLF0008	'LFT'	2024-09-01	2023-07-01	2022-07-01	190.38961711734234	15917.405460000002	'BRSTNCLF0008'
BRSTNCLF1RC4	'LFT'	2025-03-01	2023-07-01	2022-07-01	138.7828517987814	11606.359279999999	'BRSTNCLF1RC4'
BRSTNCLF1RD2	'LFT'	2025-09-01	2023-07-01	2022-07-01	172.766640898011	14445.717	'BRSTNCLF1RD2'
BRSTNCLF1RE0	'LFT'	2026-03-01	2023-07-01	2022-07-01	172.219228255714	14402.804	'BRSTNCLF1RE0'
BRSTNCLF1RF7	'LFT'	2026-09-01	2023-07-01	2022-07-01	47.5289015804598	3978.106	'BRSTNCLF1RF7'
BRSTNCLF1RG5	'LFT'	2027-03-01	2023-07-01	2022-07-01	205.39446595429018	17421.99918	'BRSTNCLF1RG5'
BRSTNCLF1RH3	'LFT'	2027-09-01	2023-07-01	2022-07-01	243.336478567515	20644.379	'BRSTNCLF1RH3'
BRSTNCLF1RI1	'LFT'	2028-03-01	2023-07-01	2022-07-01	157.492164819783	13331.895	'BRSTNCLF1RI1'
