SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLF1RK7	'LFT'	2028-09-01	2023-07-01	2022-07-01	91.5390416546887	7731.179	'BRSTNCLF1RK7'
BRSTNCNTB3Y0	'NTN-B'	2022-08-15	2023-07-01	2022-07-01	173.279573113573	42321.739	'BRSTNCNTB3Y0'
BRSTNCNTB054	'NTN-B'	2023-03-15	2023-07-01	2022-07-01	0.022054963377184	5.414	'BRSTNCNTB054'
BRSTNCNTB4O9	'NTN-B'	2023-05-15	2023-07-01	2022-07-01	187.803816050811	45767.11	'BRSTNCNTB4O9'
BRSTNCNTB096	'NTN-B'	2024-08-15	2023-07-01	2022-07-01	217.42055813219582	51760.96653	'BRSTNCNTB096'
BRSTNCNTB633	'NTN-B'	2025-05-15	2023-07-01	2022-07-01	122.864935014496	28314.919	'BRSTNCNTB633'
BRSTNCNTB4U6	'NTN-B'	2026-08-15	2023-07-01	2022-07-01	147.98465184342507	34342.435990000005	'BRSTNCNTB4U6'
BRSTNCNTB682	'NTN-B'	2027-05-15	2023-07-01	2022-07-01	34.1794136643038	8305.933	'BRSTNCNTB682'
BRSTNCNTB4X0	'NTN-B'	2028-08-15	2023-07-01	2022-07-01	93.1464222428972	20643.713	'BRSTNCNTB4X0'
BRSTNCNTB3B8	'NTN-B'	2030-08-15	2023-07-01	2022-07-01	124.87528377068112	28101.18288	'BRSTNCNTB3B8'
BRSTNCNTB674	'NTN-B'	2032-08-15	2023-07-01	2022-07-01	18.65062792896793	4474.58493	'BRSTNCNTB674'
BRSTNCNTB0O7	'NTN-B'	2035-05-15	2023-07-01	2022-07-01	110.26087506493795	27774.865879999998	'BRSTNCNTB0O7'
BRSTNCNTB3C6	'NTN-B'	2040-08-15	2023-07-01	2022-07-01	79.97351163466202	17681.166370000003	'BRSTNCNTB3C6'
BRSTNCNTB0A6	'NTN-B'	2045-05-15	2023-07-01	2022-07-01	94.60088916962658	25572.91505	'BRSTNCNTB0A6'
BRSTNCNTB3D4	'NTN-B'	2050-08-15	2023-07-01	2022-07-01	182.65876085528234	41187.64055	'BRSTNCNTB3D4'
BRSTNCNTB4Q4	'NTN-B'	2055-05-15	2023-07-01	2022-07-01	126.39886600463176	26819.47296	'BRSTNCNTB4Q4'
BRSTNCNTB690	'NTN-B'	2060-08-15	2023-07-01	2022-07-01	9.65226519895622	2298.783	'BRSTNCNTB690'
BRSTNCNTB0K5	'NTN-B Principal'	2024-08-15	2023-07-01	2022-07-01	12.0776146534897	3363.58992	'BRSTNCNTB0K5'
BRSTNCNTB4W2	'NTN-B Principal'	2026-08-15	2023-07-01	2022-07-01	13.2100407771466	3922.47192	'BRSTNCNTB4W2'
BRSTNCNTB3E2	'NTN-B Principal'	2035-05-15	2023-07-01	2022-07-01	11.919404226531901	5745.292219999999	'BRSTNCNTB3E2'
BRSTNCNTB2U0	'NTN-B Principal'	2045-05-15	2023-07-01	2022-07-01	3.6625192305709198	2674.1780400000002	'BRSTNCNTB2U0'
BRSTNCNTC0K4	'NTN-C'	2031-01-01	2023-07-01	2022-07-01	79.2208873595544	11041.95559	'BRSTNCNTC0K4'
